index,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,totals
96,2020-11,Puerto Rico,0.0,0.0,2883.0,217.0,60.0,26,3604
97,2020-11,Rhode Island,0.0,0.0,2033.0,1419.0,158.0,525,4966
98,2020-11,South Carolina,13819.0,701.0,19010.0,13569.0,1136.0,787,50441
99,2020-11,South Dakota,728.0,8.0,4302.0,6560.0,362.0,299,12543
100,2020-11,Tennessee,10897.0,4487.0,37467.0,31625.0,2298.0,0,86872
101,2020-11,Texas,43661.0,0.0,78827.0,56265.0,5504.0,4006,197225
102,2020-11,Utah,19297.0,65644.0,9582.0,9044.0,764.0,0,105024
103,2020-11,Vermont,0.0,0.0,2104.0,2445.0,217.0,165,4957
104,2020-11,Virgin Islands,176.0,0.0,37.0,4.0,0.0,0,217
105,2020-11,Virginia,616.0,401.0,35909.0,26638.0,4874.0,0,68774
106,2020-11,Washington,18905.0,361.0,27563.0,18592.0,4350.0,65,72267
107,2020-11,West Virginia,2486.0,162.0,8086.0,11767.0,483.0,472,25147
108,2020-11,Wisconsin,20980.0,984.0,25742.0,21825.0,1596.0,71,71736
109,2020-11,Wyoming,768.0,25.0,3685.0,4452.0,308.0,248,9719
110,2020-10,Alabama,32038.0,585.0,24084.0,17964.0,1698.0,1104,80934
111,2020-10,Alaska,264.0,1.0,3209.0,3210.0,348.0,188,7564
112,2020-10,Arizona,8991.0,1015.0,24964.0,12288.0,1951.0,1762,52521
113,2020-10,Arkansas,5108.0,549.0,8931.0,9386.0,567.0,421,27177
114,2020-10,California,36719.0,0.0,65376.0,40286.0,8319.0,0,151359
115,2020-10,Colorado,11161.0,37.0,25802.0,17699.0,2102.0,1942,59132
116,2020-10,Connecticut,9785.0,325.0,6821.0,2764.0,1785.0,0,21481
117,2020-10,Delaware,437.0,0.0,3951.0,2489.0,188.0,158,7430
118,2020-10,District of Columbia,1004.0,0.0,470.0,11.0,0.0,5,1507
119,2020-10,Florida,43802.0,0.0,83816.0,32346.0,5782.0,3495,175783
120,2020-10,Georgia,31924.0,0.0,26383.0,14710.0,1145.0,1100,77979
121,2020-10,Guam,0.0,0.0,221.0,88.0,32.0,12,354
122,2020-10,Hawaii,2110.0,0.0,0.0,0.0,0.0,0,2113
123,2020-10,Idaho,6684.0,19.0,7439.0,8153.0,613.0,350,24014
124,2020-10,Illinois,27352.0,401421.0,28277.0,14905.0,0.0,1640,473595
125,2020-10,Indiana,1186.0,175301.0,27979.0,18181.0,2216.0,1043,227056
126,2020-10,Iowa,10952.0,7279.0,218.0,4151.0,50.0,5,22738
127,2020-10,Kansas,949.0,13.0,8659.0,7551.0,814.0,486,19430
128,2020-10,Kentucky,1912.0,146464.0,15816.0,12804.0,763.0,793,181425
129,2020-10,Louisiana,2935.0,249.0,15180.0,13153.0,1312.0,800,35224
130,2020-10,Maine,663.0,10.0,5087.0,8215.0,375.0,291,14836
131,2020-10,Mariana Islands,0.0,0.0,15.0,12.0,1.0,0,28
132,2020-10,Maryland,12233.0,27.0,10843.0,9873.0,159.0,6,33842
133,2020-10,Massachusetts,13309.0,1.0,8354.0,4364.0,1112.0,372,27772
134,2020-10,Michigan,30855.0,10434.0,34940.0,28266.0,2745.0,1063,108742
135,2020-10,Minnesota,30213.0,25586.0,16941.0,20404.0,1317.0,780,95792
136,2020-10,Mississippi,3173.0,0.0,10982.0,10229.0,655.0,450,27815
137,2020-10,Missouri,4294.0,0.0,25340.0,22636.0,2386.0,1384,58729
138,2020-10,Montana,2158.0,1.0,4429.0,7087.0,374.0,311,15414
139,2020-10,Nebraska,5648.0,128.0,234.0,2960.0,30.0,5,9068
140,2020-10,Nevada,4677.0,0.0,8764.0,3693.0,496.0,516,18838
141,2020-10,New Hampshire,1919.0,5.0,7906.0,5243.0,177.0,0,15340
142,2020-10,New Jersey,0.0,0.0,13275.0,7171.0,851.0,0,21495
143,2020-10,New Mexico,1708.0,0.0,7814.0,5189.0,674.0,389,16739
144,2020-10,New York,4243.0,2183.0,10541.0,28281.0,3588.0,513,50434
145,2020-10,North Carolina,51717.0,55.0,2421.0,21403.0,1663.0,231,81490
146,2020-10,North Dakota,638.0,3.0,2326.0,4589.0,158.0,132,8115
147,2020-10,Ohio,21228.0,145.0,35332.0,23048.0,1962.0,1613,85170
148,2020-10,Oklahoma,2401.0,1.0,14860.0,11904.0,1513.0,932,35083
149,2020-10,Oregon,6760.0,854.0,22277.0,14255.0,0.0,3,44350
150,2020-10,Pennsylvania,41227.0,0.0,73607.0,29581.0,45.0,0,145680
151,2020-10,Puerto Rico,0.0,0.0,3714.0,252.0,65.0,44,4595
152,2020-10,Rhode Island,0.0,0.0,2143.0,1359.0,143.0,458,5178
153,2020-10,South Carolina,15855.0,664.0,17032.0,10168.0,1035.0,643,47060
154,2020-10,South Dakota,847.0,12.0,3537.0,6336.0,243.0,237,11563
155,2020-10,Tennessee,13850.0,7901.0,33275.0,22568.0,1973.0,0,79718
156,2020-10,Texas,57784.0,0.0,72591.0,44620.0,5042.0,3237,192162
157,2020-10,Utah,19408.0,84553.0,7356.0,6378.0,590.0,0,119117
158,2020-10,Vermont,0.0,0.0,2139.0,2723.0,176.0,139,5214
159,2020-10,Virgin Islands,71.0,0.0,37.0,4.0,0.0,0,222
160,2020-10,Virginia,1082.0,406.0,37867.0,22986.0,4606.0,0,67233
161,2020-10,Washington,20254.0,422.0,26765.0,17191.0,4170.0,69,71759
162,2020-10,West Virginia,3080.0,107.0,6934.0,8559.0,398.0,419,21199
163,2020-10,Wisconsin,23899.0,1131.0,26028.0,19720.0,1353.0,52,72837
164,2020-10,Wyoming,955.0,7.0,2616.0,3207.0,210.0,166,7464
165,2020-09,Alabama,33228.0,642.0,23455.0,17369.0,1633.0,981,80478
166,2020-09,Alaska,388.0,2.0,3275.0,3333.0,345.0,201,7897
167,2020-09,Arizona,8786.0,1198.0,23996.0,12094.0,1963.0,1873,51287
168,2020-09,Arkansas,3686.0,554.0,9214.0,8003.0,505.0,383,24043
169,2020-09,California,32998.0,0.0,61258.0,36638.0,7815.0,0,139313
170,2020-09,Colorado,10309.0,24.0,24260.0,15873.0,1919.0,1721,54479
171,2020-09,Connecticut,9845.0,416.0,6101.0,2284.0,1443.0,0,20091
172,2020-09,Delaware,470.0,0.0,3501.0,1909.0,176.0,141,6381
173,2020-09,District of Columbia,901.0,0.0,531.0,11.0,0.0,1,1469
174,2020-09,Florida,34496.0,0.0,76685.0,29317.0,5523.0,3174,154982
175,2020-09,Georgia,30356.0,0.0,24175.0,12797.0,1112.0,1498,72354
176,2020-09,Guam,0.0,0.0,150.0,54.0,35.0,15,254
177,2020-09,Hawaii,1534.0,0.0,0.0,0.0,0.0,0,1536
178,2020-09,Idaho,6034.0,6.0,7297.0,7426.0,629.0,382,22515
179,2020-09,Illinois,33632.0,344401.0,27645.0,13848.0,0.0,1504,421030
180,2020-09,Indiana,1254.0,155556.0,26530.0,15978.0,1955.0,916,203253
181,2020-09,Iowa,9649.0,6315.0,227.0,3541.0,56.0,2,19871
